author,text,is_fake,rating,position
Іван Петренко,"Відео у TikTok показує, що економіка України призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.609,активіст
Андрій Сидоренко,Міністерство оприлюднило звіт про стан сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.445,редактор
Олена Ковальчук,Міністерство оприлюднило звіт про стан сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.61,журналіст
Anonymous,"Анонімні джерела повідомляють, що розвиток штучного інтелекту знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.552,інтернет-коментатор
Марія Іванчук,Міністерство оприлюднило звіт про стан економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.555,репортер
Іван Петренко,"Анонімні джерела повідомляють, що нові освітні програми знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.556,інтернет-коментатор
Юрій Бойко,Міністерство оприлюднило звіт про стан сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.739,аналітик новин
Андрій Сидоренко,"Анонімні джерела повідомляють, що нові освітні програми знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.412,користувач соцмереж
Юрій Бойко,Офіційні джерела підтвердили позитивні зміни у сфері політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.818,журналіст
Олена Ковальчук,"Користувачі мережі стверджують, що уряд приховує дані про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.56,інтернет-коментатор
Наталія Гнатюк,"Експерти заявили, що економіка України розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.633,репортер
Юрій Бойко,"Анонімні джерела повідомляють, що політична реформа знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.492,інтернет-коментатор
Андрій Сидоренко,Офіційні джерела підтвердили позитивні зміни у сфері енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.666,аналітик новин
Наталія Гнатюк,Журналісти повідомили про нові досягнення у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.468,репортер
Андрій Сидоренко,У соцмережах поширюється чутка про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.582,блогер
Іван Петренко,Журналісти повідомили про нові досягнення у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.987,журналіст
Anonymous,"Відео у TikTok показує, що економіка України призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.356,користувач соцмереж
Anonymous,"Анонімні джерела повідомляють, що нові освітні програми знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.47,інтернет-коментатор
Юрій Бойко,Офіційні джерела підтвердили позитивні зміни у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.547,аналітик новин
Anonymous,У соцмережах поширюється чутка про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.341,користувач соцмереж
Олена Ковальчук,"Відео у TikTok показує, що розвиток штучного інтелекту призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.119,активіст
User123,"Анонімні джерела повідомляють, що нові освітні програми знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.335,інтернет-коментатор
Андрій Сидоренко,"Користувачі мережі стверджують, що уряд приховує дані про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.275,інтернет-коментатор
Юрій Бойко,Офіційні джерела підтвердили позитивні зміни у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.552,редактор
HiddenSource,"Відео у TikTok показує, що розвиток штучного інтелекту призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.247,користувач соцмереж
Юрій Бойко,"Експерти заявили, що енергетична безпека розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.623,аналітик новин
Anonymous,"Користувачі мережі стверджують, що уряд приховує дані про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.533,інтернет-коментатор
Іван Петренко,"Відео у TikTok показує, що нові освітні програми призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.418,користувач соцмереж
Іван Петренко,"Відео у TikTok показує, що нові освітні програми призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.302,блогер
Марія Іванчук,"Відео у TikTok показує, що сучасна медицина призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.295,користувач соцмереж
Юрій Бойко,"Експерти заявили, що розвиток штучного інтелекту розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.978,аналітик новин
Андрій Сидоренко,Міністерство оприлюднило звіт про стан нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.493,репортер
Іван Петренко,"Відео у TikTok показує, що економіка України призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.241,активіст
Юрій Бойко,"Відео у TikTok показує, що сучасна медицина призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.303,активіст
Наталія Гнатюк,Міністерство оприлюднило звіт про стан економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.82,репортер
RealTruth,У соцмережах поширюється чутка про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.611,активіст
Patriot_True,"Користувачі мережі стверджують, що уряд приховує дані про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.592,блогер
Наталія Гнатюк,"Відео у TikTok показує, що економіка України призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.282,блогер
Марія Іванчук,"Експерти заявили, що енергетична безпека розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.741,журналіст
Patriot_True,"Анонімні джерела повідомляють, що нові освітні програми знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.606,активіст
Іван Петренко,"Відео у TikTok показує, що сучасна медицина призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.65,користувач соцмереж
Іван Петренко,Журналісти повідомили про нові досягнення у сфері політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.852,аналітик новин
Андрій Сидоренко,"Відео у TikTok показує, що економіка України призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.657,інтернет-коментатор
Іван Петренко,"Користувачі мережі стверджують, що уряд приховує дані про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.112,блогер
Андрій Сидоренко,Міністерство оприлюднило звіт про стан енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.665,репортер
Андрій Сидоренко,"Експерти заявили, що енергетична безпека розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.956,аналітик новин
Юрій Бойко,Міністерство оприлюднило звіт про стан політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.887,редактор
CV19_OpenEyes,"Анонімні джерела повідомляють, що політична реформа знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.415,інтернет-коментатор
Наталія Гнатюк,Офіційні джерела підтвердили позитивні зміни у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.419,редактор
Наталія Гнатюк,Журналісти повідомили про нові досягнення у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.672,аналітик новин
CV19_OpenEyes,"Відео у TikTok показує, що енергетична безпека призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.205,інтернет-коментатор
Андрій Сидоренко,Журналісти повідомили про нові досягнення у сфері політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.659,редактор
User123,"Анонімні джерела повідомляють, що енергетична безпека знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.371,блогер
Юрій Бойко,Офіційні джерела підтвердили позитивні зміни у сфері енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.986,журналіст
Patriot_True,"Відео у TikTok показує, що нові освітні програми призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.155,користувач соцмереж
Юрій Бойко,"Користувачі мережі стверджують, що уряд приховує дані про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.611,блогер
Юрій Бойко,Журналісти повідомили про нові досягнення у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.469,журналіст
Юрій Бойко,У соцмережах поширюється чутка про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.57,інтернет-коментатор
CV19_OpenEyes,"Відео у TikTok показує, що сучасна медицина призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.386,активіст
Наталія Гнатюк,"Користувачі мережі стверджують, що уряд приховує дані про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.351,користувач соцмереж
Anonymous,"Користувачі мережі стверджують, що уряд приховує дані про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.404,користувач соцмереж
Anonymous,"Анонімні джерела повідомляють, що політична реформа знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.112,блогер
Anonymous,У соцмережах поширюється чутка про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.462,блогер
Юрій Бойко,"Експерти заявили, що політична реформа розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.486,репортер
Юрій Бойко,У соцмережах поширюється чутка про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.49,активіст
Марія Іванчук,Офіційні джерела підтвердили позитивні зміни у сфері економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.475,редактор
RealTruth,"Відео у TikTok показує, що політична реформа призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.678,користувач соцмереж
Іван Петренко,"Користувачі мережі стверджують, що уряд приховує дані про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.237,активіст
Андрій Сидоренко,У соцмережах поширюється чутка про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.556,користувач соцмереж
RealTruth,"Анонімні джерела повідомляють, що політична реформа знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.237,інтернет-коментатор
HiddenSource,У соцмережах поширюється чутка про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.284,блогер
Іван Петренко,Журналісти повідомили про нові досягнення у сфері енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.889,репортер
Марія Іванчук,"Експерти заявили, що сучасна медицина розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.649,редактор
CV19_OpenEyes,"Користувачі мережі стверджують, що уряд приховує дані про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.243,активіст
Patriot_True,"Відео у TikTok показує, що енергетична безпека призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.634,активіст
Олена Ковальчук,Журналісти повідомили про нові досягнення у сфері політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.45,редактор
Юрій Бойко,"Експерти заявили, що економіка України розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.451,редактор
Anonymous,"Відео у TikTok показує, що розвиток штучного інтелекту призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.264,блогер
Андрій Сидоренко,У соцмережах поширюється чутка про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.421,блогер
Юрій Бойко,"Анонімні джерела повідомляють, що нові освітні програми знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.115,блогер
Наталія Гнатюк,"Експерти заявили, що політична реформа розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.785,журналіст
Іван Петренко,Міністерство оприлюднило звіт про стан сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.836,репортер
Юрій Бойко,"Користувачі мережі стверджують, що уряд приховує дані про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.232,блогер
Андрій Сидоренко,Журналісти повідомили про нові досягнення у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.922,журналіст
Юрій Бойко,"Анонімні джерела повідомляють, що розвиток штучного інтелекту знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.531,активіст
Patriot_True,"Відео у TikTok показує, що нові освітні програми призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.326,активіст
Юрій Бойко,"Експерти заявили, що енергетична безпека розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.444,журналіст
Марія Іванчук,Журналісти повідомили про нові досягнення у сфері енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.666,репортер
Олена Ковальчук,Журналісти повідомили про нові досягнення у сфері економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.61,журналіст
Наталія Гнатюк,"Відео у TikTok показує, що економіка України призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.503,користувач соцмереж
CV19_OpenEyes,"Користувачі мережі стверджують, що уряд приховує дані про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.18,активіст
Олена Ковальчук,Журналісти повідомили про нові досягнення у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.48,аналітик новин
Юрій Бойко,Міністерство оприлюднило звіт про стан енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.751,аналітик новин
Марія Іванчук,Міністерство оприлюднило звіт про стан енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.64,репортер
Іван Петренко,Журналісти повідомили про нові досягнення у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.743,аналітик новин
Марія Іванчук,"Користувачі мережі стверджують, що уряд приховує дані про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.267,користувач соцмереж
Іван Петренко,Міністерство оприлюднило звіт про стан економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.776,журналіст
Наталія Гнатюк,"Відео у TikTok показує, що політична реформа призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.472,інтернет-коментатор
Наталія Гнатюк,"Користувачі мережі стверджують, що уряд приховує дані про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.655,блогер
HiddenSource,"Користувачі мережі стверджують, що уряд приховує дані про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.167,блогер
Марія Іванчук,"Експерти заявили, що розвиток штучного інтелекту розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.743,репортер
Наталія Гнатюк,Офіційні джерела підтвердили позитивні зміни у сфері економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.576,репортер
Наталія Гнатюк,"Анонімні джерела повідомляють, що розвиток штучного інтелекту знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.133,користувач соцмереж
Юрій Бойко,Журналісти повідомили про нові досягнення у сфері політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.712,редактор
HiddenSource,"Анонімні джерела повідомляють, що економіка України знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.198,блогер
Іван Петренко,У соцмережах поширюється чутка про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.357,користувач соцмереж
Іван Петренко,"Експерти заявили, що енергетична безпека розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.835,редактор
User123,"Анонімні джерела повідомляють, що політична реформа знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.28,блогер
Юрій Бойко,"Користувачі мережі стверджують, що уряд приховує дані про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.69,активіст
Юрій Бойко,"Відео у TikTok показує, що розвиток штучного інтелекту призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.699,блогер
Юрій Бойко,"Експерти заявили, що економіка України розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.677,репортер
Іван Петренко,"Користувачі мережі стверджують, що уряд приховує дані про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.401,блогер
Наталія Гнатюк,Міністерство оприлюднило звіт про стан сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.831,репортер
Юрій Бойко,Офіційні джерела підтвердили позитивні зміни у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.544,редактор
Олена Ковальчук,Міністерство оприлюднило звіт про стан економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.898,аналітик новин
Наталія Гнатюк,"Анонімні джерела повідомляють, що економіка України знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.242,інтернет-коментатор
HiddenSource,"Користувачі мережі стверджують, що уряд приховує дані про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.209,блогер
Олена Ковальчук,"Експерти заявили, що політична реформа розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.667,редактор
Марія Іванчук,"Відео у TikTok показує, що розвиток штучного інтелекту призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.148,користувач соцмереж
Андрій Сидоренко,"Експерти заявили, що політична реформа розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.831,редактор
Юрій Бойко,Міністерство оприлюднило звіт про стан економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.538,редактор
Андрій Сидоренко,"Користувачі мережі стверджують, що уряд приховує дані про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.249,активіст
Anonymous,"Анонімні джерела повідомляють, що енергетична безпека знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.135,інтернет-коментатор
Наталія Гнатюк,Міністерство оприлюднило звіт про стан енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.743,аналітик новин
Наталія Гнатюк,"Відео у TikTok показує, що економіка України призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.484,блогер
HiddenSource,"Користувачі мережі стверджують, що уряд приховує дані про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.253,активіст
Іван Петренко,Офіційні джерела підтвердили позитивні зміни у сфері енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.764,журналіст
HiddenSource,"Анонімні джерела повідомляють, що нові освітні програми знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.332,активіст
Наталія Гнатюк,"Експерти заявили, що сучасна медицина розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.446,журналіст
Андрій Сидоренко,У соцмережах поширюється чутка про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.179,активіст
Олена Ковальчук,"Відео у TikTok показує, що розвиток штучного інтелекту призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.605,користувач соцмереж
Іван Петренко,"Відео у TikTok показує, що енергетична безпека призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.658,активіст
Юрій Бойко,"Експерти заявили, що політична реформа розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.608,репортер
Олена Ковальчук,"Відео у TikTok показує, що нові освітні програми призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.521,активіст
Іван Петренко,Міністерство оприлюднило звіт про стан економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.78,редактор
Наталія Гнатюк,Міністерство оприлюднило звіт про стан політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.904,аналітик новин
Марія Іванчук,Журналісти повідомили про нові досягнення у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.547,журналіст
Наталія Гнатюк,"Відео у TikTok показує, що політична реформа призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.153,інтернет-коментатор
Іван Петренко,Журналісти повідомили про нові досягнення у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.41,аналітик новин
Андрій Сидоренко,"Експерти заявили, що економіка України розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.479,аналітик новин
User123,"Користувачі мережі стверджують, що уряд приховує дані про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.355,активіст
Наталія Гнатюк,Офіційні джерела підтвердили позитивні зміни у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.444,журналіст
Patriot_True,У соцмережах поширюється чутка про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.677,активіст
